trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
1	360.8069031238556	pulse	1	t		369.69829630851746	
1	362.4068329334259	pulse	1	t		371.29822611808777	
1	364.00666213035583	pulse	1	t		372.8980553150177	
1	365.61496114730835	pulse	1	t		374.5063543319702	
1	367.21498107910156	pulse	1	t		376.1063742637634	
1	368.8148410320282	pulse	1	t		377.70623421669006	
1	370.40742015838623	pulse	1	t		379.2988133430481	
1	372.00732493400574	pulse	1	t		380.8987181186676	
1	373.60726714134216	pulse	1	t		382.498660326004	
1	375.20717096328735	pulse	1	t		384.0985641479492	
1	376.80729699134827	pulse	1	t		385.69869017601013	
1	378.40724515914917	pulse	1	t		387.29863834381104	
1	380.00713205337524	pulse	1	t		388.8985252380371	
1	381.61486411094666	pulse	1	t		390.5062572956085	
1	383.21485209465027	pulse	1	t		392.10624527931213	
1	384.81482005119324	pulse	1	t		393.7062132358551	
1	386.41480898857117	pulse	1	t		395.30620217323303	
1	388.01486110687256	pulse	1	t		396.9062542915344	
1	389.6148850917816	pulse	1	t		398.5062782764435	
1	391.2073221206665	pulse	1	t		400.09871530532837	
1	392.8071720600128	pulse	1	t		401.6985652446747	
1	394.4071469306946	pulse	1	t		403.29854011535645	
1	396.00702595710754	pulse	1	t		404.8984191417694	
1	397.61478209495544	pulse	1	t		406.5061752796173	
1	399.214870929718	pulse	1	t		408.1062641143799	
1	400.81472301483154	pulse	1	t		409.7061161994934	
1	402.41476607322693	pulse	1	t		411.3061592578888	
1	404.01484203338623	pulse	1	t		412.9062352180481	
1	405.61476707458496	pulse	1	t		414.5061602592468	
1	407.2070219516754	pulse	1	t		416.0984151363373	
1	408.80708599090576	pulse	1	t		417.6984791755676	
1	410.4070370197296	pulse	1	t		419.2984302043915	
1	412.0069921016693	pulse	1	t		420.8983852863312	
1	413.61470913887024	pulse	1	t		422.5061023235321	
1	415.2147150039673	pulse	1	t		424.10610818862915	
1	416.81429409980774	pulse	1	t		425.7056872844696	
1	418.41453194618225	pulse	1	t		427.3059251308441	
1	420.01470613479614	pulse	1	t		428.906099319458	
1	421.6146719455719	pulse	1	t		430.50606513023376	
1	423.2071280479431	pulse	1	t		432.098521232605	
1	424.81460309028625	pulse	1	t		433.7059962749481	
1	426.40702295303345	pulse	1	t		435.2984161376953	
1	428.0068781375885	pulse	1	t		436.89827132225037	
1	429.6146049499512	pulse	1	t		438.50599813461304	
1	431.21456003189087	pulse	1	t		440.10595321655273	
1	432.81457901000977	pulse	1	t		441.70597219467163	
1	434.41484904289246	pulse	1	t		443.3062422275543	
1	436.01459097862244	pulse	1	t		444.9059841632843	
1	437.614599943161	pulse	1	t		446.5059931278229	
1	439.2145891189575	pulse	1	t		448.1059823036194	
1	440.81457901000977	pulse	1	t		449.70597219467163	
1	442.40701699256897	pulse	1	t		451.29841017723083	
1	444.006952047348	pulse	1	t		452.8983452320099	
1	445.6146309375763	pulse	1	t		454.50602412223816	
1	447.2145049571991	pulse	1	t		456.10589814186096	
1	448.8145570755005	pulse	1	t		457.70595026016235	
1	450.4145579338074	pulse	1	t		459.30595111846924	
1	452.01454997062683	pulse	1	t		460.9059431552887	
1	453.6145689487457	pulse	1	t		462.5059621334076	
1	455.2145519256592	pulse	1	t		464.10594511032104	
1	456.8144929409027	pulse	1	t		465.7058861255646	
1	458.41445803642273	pulse	1	t		467.3058512210846	
1	460.0069079399109	pulse	1	t		468.89830112457275	
1	461.6144759654999	pulse	1	t		470.50586915016174	
1	463.21459794044495	pulse	1	t		472.1059911251068	
1	464.81444907188416	pulse	1	t		473.705842256546	
1	466.4144821166992	pulse	1	t		475.3058753013611	
1	468.0145390033722	pulse	1	t		476.90593218803406	
1	469.614550113678	pulse	1	t		478.50594329833984	
1	471.21445393562317	pulse	1	t		480.10584712028503	
1	472.81397008895874	pulse	1	t		481.7053632736206	
1	474.4146349430084	pulse	1	t		483.3060281276703	
1	476.0144169330597	pulse	1	t		484.90581011772156	
1	477.61440801620483	pulse	1	t		486.5058012008667	
1	479.2143759727478	pulse	1	t		488.10576915740967	
1	480.8142440319061	pulse	1	t		489.705637216568	
1	482.4143109321594	pulse	1	t		491.3057041168213	
1	484.0143549442291	pulse	1	t		492.905748128891	
1	485.6143591403961	pulse	1	t		494.505752325058	
1	487.21442008018494	pulse	1	t		496.1058132648468	
1	488.8143479824066	pulse	1	t		497.7057411670685	
1	490.4143900871277	pulse	1	t		499.30578327178955	
1	492.01435899734497	pulse	1	t		500.90575218200684	
1	493.61436009407043	pulse	1	t		502.5057532787323	
1	495.2143440246582	pulse	1	t		504.10573720932007	
1	496.8143229484558	pulse	1	t		505.7057161331177	
1	498.41427302360535	pulse	1	t		507.3056662082672	
1	500.01431107521057	pulse	1	t		508.90570425987244	
1	501.61429810523987	pulse	1	t		510.50569128990173	
1	503.21427392959595	pulse	1	t		512.1056671142578	
1	504.8142111301422	pulse	1	t		513.7056043148041	
1	506.4142870903015	pulse	1	t		515.3056802749634	
1	508.0142240524292	pulse	1	t		516.9056172370911	
1	509.61429810523987	pulse	1	t		518.5056912899017	
1	511.2142641544342	pulse	1	t		520.1056573390961	
1	512.8142330646515	pulse	1	t		521.7056262493134	
1	514.4143531322479	pulse	1	t		523.3057463169098	
1	516.0142240524292	pulse	1	t		524.9056172370911	
1	517.6142220497131	pulse	1	t		526.505615234375	
1	519.2142040729523	pulse	1	t		528.1055972576141	
1	520.8142039775848	pulse	1	t		529.7055971622467	
1	522.4141850471497	pulse	1	t		531.3055782318115	
1	524.0142829418182	pulse	1	t		532.9056761264801	
1	525.6142671108246	pulse	1	t		534.5056602954865	
1	527.2141699790955	pulse	1	t		536.1055631637573	
1	528.8139369487762	pulse	1	t		537.7053301334381	
1	530.4139909744263	pulse	1	t		539.3053841590881	
1	532.0141770839691	pulse	1	t		540.905570268631	
1	533.6141979694366	pulse	1	t		542.5055911540985	
1	535.2141439914703	pulse	1	t		544.1055371761322	
1	536.8141679763794	pulse	1	t		545.7055611610413	
1	538.4140710830688	pulse	1	t		547.3054642677307	
1	540.0141451358795	pulse	1	t		548.9055383205414	
1	541.6140351295471	pulse	1	t		550.505428314209	
1	543.21413397789	pulse	1	t		552.1055271625519	
1	544.8140349388123	pulse	1	t		553.7054281234741	
1	546.4140141010284	pulse	1	t		555.3054072856903	
1	548.0139620304108	pulse	1	t		556.9053552150726	
1	549.6140241622925	pulse	1	t		558.5054173469543	
1	551.2140960693359	pulse	1	t		560.1054892539978	
1	552.8139481544495	pulse	1	t		561.7053413391113	
1	554.4140520095825	pulse	1	t		563.3054451942444	
1	556.0140340328217	pulse	1	t		564.9054272174835	
1	557.6140360832214	pulse	1	t		566.5054292678833	
1	559.2140281200409	pulse	1	t		568.1054213047028	
1	560.8139970302582	pulse	1	t		569.70539021492	
1	562.4140000343323	pulse	1	t		571.3053932189941	
1	564.0139660835266	pulse	1	t		572.9053592681885	
1	565.6139831542969	pulse	1	t		574.5053763389587	
1	567.2140600681305	pulse	1	t		576.1054532527924	
1	568.8139369487762	pulse	1	t		577.7053301334381	
1	570.4139759540558	pulse	1	t		579.3053691387177	
1	572.0139470100403	pulse	1	t		580.9053401947021	
1	573.6139581203461	pulse	1	t		582.5053513050079	
1	575.2139799594879	pulse	1	t		584.1053731441498	
1	576.8140280246735	pulse	1	t		585.7054212093353	
1	578.4140620231628	pulse	1	t		587.3054552078247	
1	580.0139601230621	pulse	1	t		588.905353307724	
1	581.6140201091766	pulse	1	t		590.5054132938385	
1	583.2134680747986	pulse	1	t		592.1048612594604	
1	584.813591003418	pulse	1	t		593.7049841880798	
1	586.4141881465912	pulse	1	t		595.305581331253	
1	588.0138759613037	pulse	1	t		596.9052691459656	
1	589.6138660907745	pulse	1	t		598.5052592754364	
1	591.2139401435852	pulse	1	t		600.1053333282471	
1	592.8137719631195	pulse	1	t		601.7051651477814	
1	594.4137909412384	pulse	1	t		603.3051841259003	
1	596.013757944107	pulse	1	t		604.9051511287689	
1	597.6139190196991	pulse	1	t		606.505312204361	
1	599.2136969566345	pulse	1	t		608.1050901412964	
1	600.813805103302	pulse	1	t		609.7051982879639	
1	602.4137411117554	pulse	1	t		611.3051342964172	
1	604.0138199329376	pulse	1	t		612.9052131175995	
1	605.6137120723724	pulse	1	t		614.5051052570343	
1	607.2137219905853	pulse	1	t		616.1051151752472	
1	608.8137440681458	pulse	1	t		617.7051372528076	
1	610.4136950969696	pulse	1	t		619.3050882816315	
1	612.013699054718	pulse	1	t		620.9050922393799	
1	613.6137020587921	pulse	1	t		622.505095243454	
1	615.2136960029602	pulse	1	t		624.1050891876221	
1	616.8137221336365	pulse	1	t		625.7051153182983	
1	618.4137260913849	pulse	1	t		627.3051192760468	
1	620.0137300491333	pulse	1	t		628.9051232337952	
1	621.6136729717255	pulse	1	t		630.5050661563873	
1	623.2136890888214	pulse	1	t		632.1050822734833	
1	624.8136949539185	pulse	1	t		633.7050881385803	
